GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
3260397,BACTOX 500MG GEL B/12              ,1,1,"1,805",
1288371,BACTOXIME DS 100MG/5ML PDRE SP F/60ML,1,2,"4,510",
1288351,BACTOXIME DT 200MG CP B/10,5,2,"4,770",
8156782,BECTACEF 1000/500 PDRE INJ,64,5,"2,755",
8182182,BEKRACINE 100MG/5ML S BUV 60ML,1,0,"4,810",
8182242,BEKRACINE 200MG CPR DISP B/10,19,2,"5,000",
8054484,"BENZAT BENZYLPENICIL UBI 2,4MUI INJ",127,18,"1,100",
1444181,BEROXYL 250MG/5ML SUSP 60ML,3,1,"1,160",
8342125,BIBACTIN 240MG SP F/100ML          ,88,14,"1,550",
8108493,BIDONTOGYL 1.5MUI/250MG CPR B/15,2,1,"5,170",
2025317,BIODROXIL 500MG GEL B/12           ,3,3,"5,540",
2254590,"BISPIRAZOLE 1,5MUI/250MG B/15      ",2,1,"5,565",
8051327,BONCIPRO CP 500MG B/20,8,2,"4,850",
8081771,BONCIPRO CP 750MG B/20,3,2,"6,890",
8156799,BRUFIX 200MG CP PELL B/10,1,2,"3,860",
2035497,CEDROX 500MG GEL B/12              ,3,1,"4,800",
2273297,CEFALORAL 100MG CPR DISP B/10      ,7,2,"4,410",
2273469,CEFALORAL 200MG CP B/10            ,55,0,"3,930",
2298682,CEFAMOR 125/5ML PPS FL/100ML,1,1,"1,790",
2277303,CEFAMOR 500MG GEL B/20             ,1,1,"4,010",
8152459,CEFIDIS 200MG CP B/10,1,1,"7,290",
707890,CEFILEX 100MG/5ML PDRE F/60ML,33,4,"2,070",
707906,CEFILEX 200MG CP B/10,8,2,"3,440",
8398396,CEFIM 100MG SUSP F/60ML,3,2,"5,510",
1402001,CEFIWEL 200MG CP DISP B/10,2,3,"4,200",
8170457,CEFIX 200MG CP B/10,77,5,"4,990",
1312391,CEFIXIM GH 100MG/5ML FL/100ML,35,3,"5,510",
1312401,CEFIXIM GH 200MG CP B/8,271,16,"3,440",
8155216,CEFIXIME SP 100MG/5ML PDRE SUSP F/60ML,2,2,"5,500",
8142219,CEFIXIME SP 200MG COMP PELL B/10,2,2,"5,460",
1132381,CEFOLAC 200MG CPR PELL B/8,10,2,"3,960",
0673034,CEFTRIAXON GH IM/IV INJ F/1,5,2,"1,860",
1330101,CEFTRIAXONE IG 1000MG INJ B/1,12,3,"1,930",
1268001,CEFTRIMAX 1G INJ B/1,114,10,"1,530",
1716401,CEPOXIME 100MG/5ML SUSP F/60ML,1,1,"4,880",
2271938,CETAFOR 1000MG IM B/1,4,4,"2,480",
2271921,CETAFOR 1000MG IV B/1,9,3,"2,510",
2288809,CETAZONE 1G AMP INJ                ,14,3,"2,510",
1404391,CEXIME 200MG CPR PELL B/10,22,2,"3,900",
1404401,CEXIME DS 100 SUSP FL/100ML,5,0,"3,240",
8077054,CICIAN 500MG CP PELL B/10,2,0,720,
8034932,CIFRAN CT 500MG  CPR B/10                 ,3,1,"6,090",
2270034,CIPRO DENK 500MG CP B/10           ,2,1,"4,160",
8156807,CIPRO DENK 750MG B/10,2,0,"4,410",
8488320,CIPROAS TZ 500/600MG CP B/20,1,1,"6,900",
8332397,CIPROGLEN 500MG CPR B/10           ,8,2,"3,070",
8123699,CIPROLON 500MG CP B/14,1,2,"3,890",
8074937,CIPROMED 500MG CPR,1,2,"3,040",
2272151,CIPRONAT 250MG CP B/14,1,1,"1,650",
2272435,CIPRONAT 500MG CP B/14,46,3,"2,760",
2272493,CIPRONAT 750MG CP B/14             ,23,4,"3,860",
1585591,CIPROZOLE FORTE 500/600MG /20,2,3,"7,580",
2288962,CIPROZOLE FORTE 500/600MG CPR10    ,2,1,"5,510",
2288979,CIPTIN FORTE 500/600MG COMP B/10   ,23,3,"2,520",
3320768,CLAMOXYL 1G CPR DISP B/12          ,22,4,"4,120",
3158753,CLAMOXYL 500MG GELULE B/12         ,37,12,"1,750",
3230002,CLAMOXYL 500MG SIROP FL/60ML       ,91,9,"1,960",
1312411,CLARITHROMYCIN GH 500MG CPR B/14,26,2,"3,980",
2296364,CLARITOX 500MG CP B/10,3,1,"5,060",
8306052,CLARIVA 500MG CP B/14              ,2,2,"9,365",
8108659,CLAVAM 1125MG CP B/12,3,2,"6,330",
8108642,CLAVAM 562.5MG CP PELL B/16,2,0,"5,310",
8108613,CLAVAM PDR SUSP 281G25 FL 60ML,1,2,"3,560",
8108636,CLAVAM PDR SUSP 562MG5 FL 60ML,5,2,"3,820",
8108240,CLAVUMOCCID 1G CPR B/20,1,1,"8,955",
8513207,CLEDOMOX 1125MG CP B/16,7,0,"6,820",
8074015,CLEDOMOX 562.5MG CP B/16,1,1,"4,990",
2269864,COAMOX ACINO  1000MG CPR B/12             ,3,2,"7,610",
1205821,CO-AMOXICLAV SP 100/12.5 ENF/60,4,2,"4,100",
8173651,CO-AMOXICLAV SP 500/62.5MG ENF SACH B/12,5,2,"4,530",
8173639,CO-AMOXICLAV SP1G/125MG AD SACHT B/12,4,2,"5,000",
2027428,COTRIM FORT 960MG CP B/10          ,13,2,"1,160",
2294804,COTRIMAXOLE TM 480 CP/100,1,1,"1,640",
8054260,COTRIMOXAZOLE UBI SP 480/5ML FL,45,2,"1,100",
8172019,CREAZITHRO 500MG CP B/3,26,3,"2,150",
1596221,CROCILLINE 125MG/5ML FL/60ML,121,2,770,
1596211,CROCILLINE 250MG/5ML FL/60ML,400,2,950,
8165798,CURAM 100/12.5 NN PDR BUV/30ML,63,4,"2,590",
8165746,CURAM 100/12.5MG ENF PDR BUV/60ML,20,3,"4,550",
2290545,CURAM 1000/125 SACHET B/12,4,2,"7,440",
2264393,CURAM 1G CPR B/10                  ,2,1,"7,050",
1177141,CURAM 500MG/62.5MG B/16     ,23,4,"5,550",
8071873,DAZEL KIT CPR B/4                  ,75,4,"5,170",
8124279,DICACILLINE 0.6MUI SOL INJ B/1,7,4,"1,310",
8117440,DICACILLINE 1.2 UI SOL INJ B/1,8,3,"1,360",
8117457,DICACILLINE 2.4 SOL INJ B/1,84,0,"1,770",
1752121,DOXACINE 200MG/600MG CP B/20,1,1,"5,250",
8137282,DOXY 200 COMP B/8                  ,297,19,"2,370",
2290284,DOXYNOR 100MG CP B/20              ,5,2,"4,130",
2285426,ENHANCIN 1G CPR B/12               ,6,3,"6,295",
2283605,ENTAMIZOL 250MG SIROP 100ML        ,6,2,"2,950",
2283597,ENTAMIZOLE 250MG CP B/30           ,3,2,"3,280",
2283580,ENTAMIZOLE DS 500MG CP B/15        ,9,3,"3,250",
3223887,ERY 500 COMP B/20                  ,7,2,"5,130",
3223870,ERY 500MG CPR B/10                 ,19,3,"3,370",
1483531,ESOFAG KIT 6CP 7KITS,1,1,"7,880",
1361711,FIXEF 200 MG CP B/10,2,4,"4,620",
8105075,FIXIM 100MG/5ML PDR SUSP 60ML,13,2,"6,610",
1388041,FIXIM 100MG/5ML S.BUV 40ML,9,5,"5,850",
8046160,FIXIM 200MG B/10 CP,55,6,"4,965",
1307611,FIXIM 400MG CPR B/5,2,1,"7,920",
8169537,FIXIM 40MG/5ML PDR SUSP 40ML,2,1,"4,130",
8151632,FIXINECT 200MG CP B/10,12,2,"4,200",
8171899,FIXXE 100/5ML PDRE SUSP BUV F/60ML,39,7,"3,980",
8171882,FIXXE 200MG CP DISP B/10,82,0,"4,880",
1513901,FIXXE 400MG CP DISP,8,2,"5,530",
1667481,FLAGIMAX 4% SP FL/120ML,1,1,"1,740",
1827801,FLAGIMAX 500MG CP B/15,22,3,"1,740",
1326161,FLAGYL 125MG/5ML  120ML              ,68,9,"2,600",
1511921,FLAGYL 250MG CP B/20               ,7,3,"2,670",
1320301,FLAGYL 500MG COMP B/14             ,101,12,"2,090",
2281894,FLEMING 1G 200MG  INJ F/5,3,2,"8,610",
2252740,FLEMING 1G/125MG CPR PELL B/16     ,19,2,"6,270",
1254831,FLUCOGEN  500MG GEL B/12,9,2,"1,740",
1312421,FLUCOGEN 250MG/5ML SUSP 100ML,6,1,"3,020",
8513118,FLUKOCIN 500MG GELU BT20,7,2,"3,720",
2291852,FLUOXINE 500MG CPR B/10            ,1,1,"2,340",
1670561,FOCE 100MG CP B/10,2,2,"4,410",
1670571,FOCE 200MG CP B/10,7,2,"5,510",
1685251,FOCE 40MG/5ML SUSP BUV F/100ML,11,0,"5,370",
1685241,FOCE 40MG/5ML SUSP BUV F/50ML,7,2,"3,860",
3676637,FUCIDINE 250MG COMP B/10           ,2,3,"10,910",
1345131,FUCLO 1G INJ B/1,1,1,"2,755",
2259015,FUCLO 250MG F/100ML,51,4,"3,860",
2256933,FUCLO 500MG GEL B/24               ,206,8,"4,000",
8181372,FUCLO 500MG PDRE INJ F/1,3,0,"1,650",
1300911,GENCLAV 1G/125MG PDRE SUSP BUV SACH/16,91,7,"6,890",
1300891,GENCLAV 250/31.25MG SACHET B/12,16,3,"3,440",
1300901,"GENCLAV 500/62,5MG PDRE SUSP BUV SACH/12",12,3,"4,820",
8146973,GRAMOCEF 100MG SUSP BUV F/100ML,2,1,"6,195",
8109191,GRAMOCEF O 50 DS F/100ML,1,2,"4,890",
8152519,GUNCIPRO FORTE 500/600MG CP B/10,1,2,"3,470",
  2037875,HELICOCIN CP B/42                 ,8,2,"6,960",
2297961,IMOX 500MG GEL B/10                 ,367,258,"1,955",
8059547,IMUCLAV-1125 1000MG/125MG CPR B/12,2,1,"6,230",
1343461,INDOFIX 100MG CP B/10,47,7,"3,860",
1507551,INDOFIX 100MG PDR S.BUV 60ML,109,7,"5,990",
9016706,INDOFIX 200MG CP B/10,142,3,"5,650",
1702941,INDOFIX 400MG CPR PELL B/10,54,3,"6,890",
8129377,INDOZONE 1G IV/IM INJ,72,9,"2,580",
8129383,INDOZONE-S 1G/500MG PDR INJ+SOLV AMP B/1,167,13,"4,070",
8144448,INTERCEF 100MG CP B/10,216,7,"1,500",
8141792,INTERCEF 100MG/5ML PDR FK/30ML,302,15,"1,680",
8162564,INTERCEF 200MG CPR PELL B/10,104,3,"3,640",
8110780,LEVORAY 500MG CP B/5,1,1,"3,444",
8069936,LEVOTOP 500MG CP B/10              ,1,1,"8,680",
2278739,LIC NORFLOX 400MG CPR ENR B/10     ,7,2,"2,330",
2292047,LINCOMYCINE  CREAT 500MG GEL B/12,24,0,"2,480",
2282333,LONGAMYCINE 200MG CP B/8           ,20,2,"1,420",
2484380,LUTTE KIT CP B/4,5,1,"4,425",
8181596,MACROLYN 500MG CP B/3,4,2,"4,820",
8180088,MEDICLAV 1000/125MG SACH/12,16,1,"5,170",
8417030,MEDICLAV 500/62.5MG CP B/12,3,2,"3,450",
2256229,MEGACEF 100MG/5ML SP F/60ML        ,1,1,"7,510",
2274753,MEGACEF 200MG B/16 GELULE          ,2,1,"11,120",
2256212,MEGACEF 40MG/5ML SP F/60ML         ,4,2,"3,600",
8103633,METRODEX 500MG CP B/20,9,1,"2,100",
2285610,METRODEX PDRE SUSP BUV F/100ML     ,9,3,"2,180",
8430639,METROL 125MG/5ML FL/120ML,165,4,"1,050",
1215791,METROL 500MG CP B/20,72,2,"1,160",
8460971,METROLEX-F 150MG FL/100ML,1,1,"2,760",
2295235,METRONIDAZOLE 125MG/5ML QT SP F/100ML,90,6,"1,120",
8054521,METRONIDAZOLE 125MG/5ML UBI SP F/100ML    ,74,11,770,
8054509,METRONIDAZOLE 500MG UBI SOL INJ    ,197,16,"1,130",
8054076,METRONIDAZOLE UBI 250MG CP 100X10,4,0,"16,530",
2296795,METRONYL 500MG CPR B/20            ,140,5,"1,500",
1301561,METROZAL 125MG/5ML SP F/120ML,8,2,"1,650",
1220731,METROZAL 500MG CP B/20,5,3,"2,070",
1279081,MEXIME 200MG CP B/10,2,1,"5,230",
1284611,MEXIME 40MG/5ML S BUV FL/60ML,1,2,"2,810",
1545971,MICFOX 100MG CP B/10,2,1,"1,600",
1546001,MICFOX 100MG/5ML SRP FL/60ML,6,2,"2,070",
3320923,MONURIL 3G GLE AD SACH B/1         ,12,2,"7,030",
0071861,MOXIFLOX GH 400 MG CPR B/10,1,1,"11,020",
1563361,MOXILAND 1G/125MG SUSP SACH/16,85,13,"7,000",
1702961,MOXILAND 1G/200 PDRE SOL INJ B/1,4,33,"2,200",
1563341,MOXILAND 250/31.25MG SUSP/60ML,112,12,"3,440",
1563351,MOXILAND 500/62.50MG SUSP 60ML,7,0,"3,965",
1563381,MOXILAND 500/62.50MG SUSP SAC16,27,2,"4,975",
8151997,NECTRAM 1G INJECTABLE,5,-1,"2,000",
1400521,NIFLOX 200MG/500MG CP B/10X3,1,1,"6,890",
8152614,NORFLOZOL 500/400 CP B/10,4,1,"4,130",
8161033,NORMIX 200MG CP B/12,2,1,"5,240",
1524231,NYSTATINE UBI 1MUI SUSP BUV F/30ML,1,1,"1,380",
8174047,OFIKEN 200MG CPR PELL SEC B/16,2,1,"6,200",
3290323,OFLOCET 200MG COMP B/10            ,5,2,"6,200",
2277415,OFLOCINE 200MG CPR B/10            ,12,2,"2,940",
2255939,OFLOCINE PERF F/100ML              ,5,2,"3,680",
2282646,OFLOMAC 200MG CP B/10,3,2,"2,960",
8113086,OFLOR 200/500MG CP B/10,1,1,"4,990",
2295382,OFLOXACINE TM 200MLG CP B/10,1,1,"2,730",
8446037,OFLOZOLE 200/500MG CP B/10,2,1,"2,410",
8140203,ONECEF 1MG INJ 10ML B/1,2,1,"1,530",
1323281,ORIXO 200MG CP B/10,22,3,"3,470",
1323291,ORIXO 400MG CPR B/10,2,2,"5,540",
3358989,OROKEN 100MG PDR SUSP FL 200DOS    ,1,3,"9,810",
3313113,OROKEN 200MG COMP B/8           ,2,1,"9,780",
3358995,OROKEN SUSP BUV FL/40ML            ,3,1,"4,795",
2009181,OSPAMOX 250MG SUSP GLES FL/60ML    ,1,1,"1,680",
3132162,OSPEN 1M COMP B/12                 ,92,1,"2,890",
2285739,OXAGRAM 500MG GEL B/24             ,22,2,"4,200",
1242201,OXICLAR 125/ML PDR FL/100ML,3,2,"2,925",
1242191,OXICLAR 250MG/ML PDR FL/100ML,12,3,"3,440",
1330751,OXICLAR 500MG GEL B/24,78,4,"3,340",
1352411,PENISTAPH 125MG/5ML FL/100ML,2,1,"2,200",
8111897,PHARPEN 250MG SUSP FL/60ML,1,1,"1,735",
8110432,PHARPEN 500MG GELB/12,1,1,"2,840",
8172640,PHARTRIM FORTE 800/160MG CPR B/10,3,1,"1,520",
2295583,QUINOLOX 200MG CP B/10,2,1,"4,850",
2021325,RANOXYL 500MG GELULE B/20          ,1,1,"2,090",
8039183,RAPICLAV 1G CP B/14  ,101,4,"6,695",
2294253,RAPICLAV 625MG CP 7 BL 3           ,12,7,"4,130",
3267488,ROCEPHINE 1G IV FL+AMP BT1         ,1,1,"8,920",
8173697,ROLICIN 500MG CPR PELL B/3,17,3,"2,760",
3124168,"ROVAMYCINE 1,5 M UI COMP B/16      ",1,2,"5,380",
3324708,ROVAMYCINE 3M U.I COMP B/10        ,22,2,"5,290",
8394524,ROX-MYCIN CPR B/10                 ,2,2,"3,500",
3290381,RULID 150MG COMP B/10              ,1,1,"9,920",
8179760,SAPHIR AD 1000/125MG PDRE SUSP SACH/16,1,1,"6,980",
8112649,SOCLAV 100/12.5MG FL/60ML,5,2,"3,860",
8138979,SOCLAV 1G/125MG SACHET B/16,2,2,"7,980",
8112603,SOCLAV 500/62.5MG SACHET B/16,2,2,"6,120",
8147197,SOLEXIM 100MG/5ML PDR F/60ML,1,1,"5,540",
8147174,SOLEXIM 200MG CP B/10,30,3,"4,470",
2256956,SPIRALIDE 3MUI CPR B/10            ,7,2,"4,960",
8440537,SPIREX PLUS CP B/20,1,1,"5,950",
8150696,STARPEN 1000 COMP ENR B/12         ,7,4,"2,340",
2297990,STERICEF 1G INJ 10ML B/1           ,35,12,"2,070",
1091191,STERITAX 1G/500MG PDRE INJ+SOLV B1,9,4,"3,440",
1702971,TARTIZOLE 150MG CPR B/1,23,9,"1,380",
8137313,TAXIM O 200MG CP B/10,4,0,"6,810",
1404791,TAXIM O FORTE 100MG/5ML SUSP BUV 60ML,1,2,"4,630",
1440221,THEOCLAV 1000MG/125MG CP B/20,3,0,"6,545",
1440281,THEOMOX 250MG FL/100ML,1,1,"1,380",
8169922,THIOBACTIN 250MG/5ML SUSP60ML,10,0,"4,115",
2031312,THIOBACTIN 500MG COMP B/24         ,12,2,"9,410",
2282942,TICASSE 200/28MG PDRE SUSP BUV 70ML,540,36,"2,520",
2282936,TICASSE 400/57MG PDRE SUSP BUV 70ML,52,5,"4,650",
2270695,TICASSE 625 CP B/15,14,2,"5,040",
2267316,TICASSE 875/125MG CPR B/14         ,44,2,"6,200",
8152755,TOCFIM 200MG CP B/10,2,0,"3,340",
1330511,TRACLAV 1000MG/125MG COMP B/14,5,2,"6,210",
1765931,TRACLAV 1G S/16,5,2,"7,300",
1277851,TRIAF 1G INJ B/1,3,2,"1,970",
664780,TRIAF-S 1G/500MG IM/IV INJ F/1,1,3,"2,620",
1293551,TRIMOL 240MG/5ML S.BUV 100ML,12,3,730,
1215881,TRIMOL FORTE 960MG CP B/10,23,4,730,
8444759,TRISPORIN CP B/10,11,2,"4,600",
1307571,TRISPORIN S.BUV FL/100ML,10,1,"5,170",
1402051,UMEFLOX 200MG CP B/10,2,1,"2,600",
8140373,UMEXIM 200MG GEL B/10,46,0,"4,330",
1002501,UNOZIT 500MG CP B/3,1,1,"4,990",
8148601,UTRIXONE 1000MG INJ COMNIPA/1,107,12,"1,380",
8141697,UZET 200MG/5ML SP F/15ML,2,1,"3,410",
8142403,UZET 500MG CP B/3,6,3,"4,920",
2297180,VICLINE 200MG CPR PELL SEC B/10     ,5,3,"1,400",
2484287,YEMAY KIT CP B/4,11,7,"3,720",
8111733,ZAMOX 1000 MG/125 S/12,2,2,"5,240",
8111762,ZAMOX 500/62.5MG SACH B/12,2,1,"3,650",
9001366,ZEXIM 100MG/5ML PDRE SP F/30ML,4,0,"5,820",
9001372,ZEXIM 200MG/5ML POUDRE SP F/30ML,2,2,"6,300",
8182609,ZICLAV 1G/125MG CP PELL B/16,5,1,"7,000",
8182615,ZICLAV 250/31.25MG SP F/60ML,15,0,"3,530",
8182638,ZICLAV 500/61.5MG SP F/60ML,5,2,"3,840",
8182621,ZICLAV 500MG/62.5MG CP B/16,5,1,"5,200",
1548481,ZIFLUSEC KIT 1G/1G/150MG B/4,4,2,"3,440",
2025263,"ZITHROMAX 200MG FL 22,5ML          ",1,1,"7,950",
8018086,ZOCIN 200MG/5ML SUSP BUV F/15ML    ,5,2,"2,660",
2277088,ZOCIN 500MG 1BL/3                  ,6,2,"5,540",
,,Nombre d'articles :,332,,
Code Géo :,ANTIPALUDIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8172002,ACURE 20/120 FL/30ML,26,5,"1,550",
1402021,ACURE 20MG/120MG CPR DISP B/6,1,1,"1,380",
1401121,ACURE 40/240 CP B/6,2,3,"1,820",
8170598,ACURE 40/240 SP F/30ML,23,1,"2,000",
8456030,ACURE 60MG/360MG CPR DISP B/6,9,4,"2,275",
8171994,ACURE 80/480 B/6,35,6,"2,100",
28419075,ALFACURE 40MG240MG CP B6,1,1,"1,545",
8177382,ALFACURE 80/480MG CP B/6,6,2,"2,480",
1307631,ALLNAT 120MG IV PDR SOL INJ/1,17,9,"2,810",
1544951,ANOFEL 80MG/480MG CP B/6,27,14,"1,720",
1787141,AQUANATE 120MG INJ ,34,4,"2,620",
1786241,AQUANATE 30MG INJ,3,5,950,
1277831,AQUANATE 60 INJ B/1,16,3,"1,520",
8088164,ARTEFAN 180/1080MG SUSP F/60ML    ,6,2,"2,230",
2288927,ARTEFAN 20/120MG CPR DISP B/6      ,193,17,830,
1307641,ARTEFAN 20/120MG SUSP F/30ML,613,54,"1,380",
8145287,ARTEFAN 40/240MG CP B/6,313,17,"1,720",
1307651,ARTEFAN 40/240MG SUSP F/30ML,238,39,"2,100",
8145293,ARTEFAN 60/360 CP BLIST B/6,126,20,"2,170",
1307661,ARTEFAN 60/360MG SUSP F/30ML,12,3,"2,580",
8076190,ARTEFAN 80/480 CP B/6              ,"1,212",54,"2,180",
1307671,ARTEFAN 80/480MG SUSP F/30ML,9,3,"2,790",
1307681,ARTEFAN DT 40/240 CP B/6,3,3,"1,750",
1212981,ARTEJECT 80MG/ML S.INJ AMP B/6,109,8,"4,710",
2282675,ARTEMETHER TM 80MG INJ AMP 1ML B/6,3,1,"4,230",
2278432,ARTEMETHER UBI 20MG INJ B/10,2,1,"5,510",
2271447,ARTEMETHER UBI 40MG INJ B/10       ,10,3,"8,300",
8099452,ARTEMETHER UBI 80MG INJ B/10       ,34,3,"11,210",
I51,ARTEMISIA INFUSETTE,1,0,"3,000",
8022219,ARTESUN 120MG S INJ B/1,25,9,"3,340",
2268439,ARTESUN 60MG S INJ B/1,11,7,"1,750",
1305921,ARTESUPPO 200,6,2,"3,440",
1305911,ARTESUPPO-100,2,3,"2,785",
1305901,ARTESUPPO-50 ,2,2,"1,870",
1597841,ARTHER 15MG/90MG/5ML SUSP 60ML,5,1,"1,515",
1597831,ARTHER FORTE 80MG/480MG CP B/6,1,0,"2,060",
8181194,ARTILEX 80/480 MG CP B/6,3,2,"2,620",
8182124,ARTRIM GH 20/120MG CP B/6,37,4,690,
8162601,ARTRIM GH 80/480MG CP B/6,733,0,"1,515",
8066599,ARTRIM SUSP BUV 15/90MG F/60ML     ,7,3,"3,130",
8104087,ARTRINE 40MG/240MG CPR B/12        ,7,3,"2,380",
1468951,ARTRINE 60/360MG CP B/6,4,2,"1,540",
0902471,ARTRINE 80/480MG CPR B/6,53,5,"2,410",
2260047,ARTRINE CP 20/120MG B/24           ,5,2,"2,380",
8488917,ASMETHER L CP 80/480MG B/6,1,2,"2,755",
1208131,ATHRITA 20MG/ML S.INJ 1ML B/6,1,2,"3,445",
1208141,ATHRITA 40MG/ML SOL INJ 1ML B/6,1,2,"4,080",
1208151,ATHRITA 60MG/ML S.INJ 1ML B/6,1,2,"4,550",
1208161,ATHRITA 80MG/ML INJ 1ML B/6,2,1,"4,990",
8154671,AUROTHER 80/480MG CP B/6,4,3,"1,860",
8147613,BIMALARIL 20/120MG  CP B6,5,2,"1,450",
8147636,BIMALARIL 40/240 CP B/6,10,2,"2,400",
8147642,BIMALARIL 60/360 CP B/6,25,5,"2,760",
2255974,BIMALARIL 80/480 CP B/6                   ,92,4,"2,330",
2255098,BIMALARIL BB SP F/30ML             ,175,12,"1,500",
2255081,BIMALARIL ENFT SP F/30ML           ,64,5,"2,660",
8147607,BIMALARIL PLUS GELULES B/6,20,3,"3,430",
8168383,CHINTHER 80/480 CP B/6,4,2,"2,360",
2283284,CO ARINATE FDC AD CP B/3           ,253,15,"2,960",
2283350,CO ARINATE FDC ENF CP B/3          ,50,10,"2,410",
2287684,CO ARTESIANE SUSP F/60ML           ,14,2,"2,235",
