GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
8102390,AZITHRO 200MG PDRE SUSP BUV SACH/3 ,18,1,"2,760",
1442101,AZITHRO MP 250MG GELULE B/6           ,7,0,"3,580",
2271269,AZIX 500MG CP B/3                  ,5,2,"6,640",
8102444,BACTOCLAV 1G CPR B/12              ,3,2,"3,770",
3408925,BACTOX 500MG PDRE SIROP            ,1,0,"2,385",
1288371,BACTOXIME DS 100MG/5ML PDRE SP F/60ML,34,2,"4,510",
1288351,BACTOXIME DT 200MG CP B/10,8,2,"4,770",
8156782,BECTACEF 1000/500 PDRE INJ,71,5,"2,755",
8182242,BEKRACINE 200MG CPR DISP B/10,2,2,"5,000",
8054484,"BENZAT BENZYLPENICIL UBI 2,4MUI INJ",216,18,"1,100",
1444181,BEROXYL 250MG/5ML SUSP 60ML,2,1,"1,160",
8342125,BIBACTIN 240MG SP F/100ML          ,58,14,"1,550",
2270011,BINOZYT 500MG CPR B/3              ,2,0,"5,510",
2025317,BIODROXIL 500MG GEL B/12           ,2,3,"5,540",
8192097,BIOTIC PLUS 1G/125MG SACH B/14,4,1,"5,510",
2254590,"BISPIRAZOLE 1,5MUI/250MG B/15      ",6,1,"5,565",
1476981,BONACEF 200MG CP B/10,1,2,"3,890",
8051327,BONCIPRO CP 500MG B/20,2,2,"4,850",
8156799,BRUFIX 200MG CP PELL B/10,15,2,"3,860",
2277579,CARMOX 500MG GEL B/10              ,2,0,"2,030",
8070885,CARY 250MG/5ML SUSP BUV F/60ML,1,1,"1,270",
2035497,CEDROX 500MG GEL B/12              ,4,1,"4,800",
2272470,CEDROX 500MG PDR SP FL/60ML        ,4,1,"4,820",
2273297,CEFALORAL 100MG CPR DISP B/10      ,4,2,"4,410",
2273469,CEFALORAL 200MG CP B/10            ,44,0,"3,930",
1305941,CEFALORAL SUSP ENFANT,10,2,"5,450",
1305931,CEFALORAL SUSP NOURRISSON,12,1,"2,760",
2298682,CEFAMOR 125/5ML PPS FL/100ML,3,1,"1,790",
2277303,CEFAMOR 500MG GEL B/20             ,1,1,"4,010",
8142159,CEFEZONE 1G INJ B/1,1,1,"2,090",
8114542,CEFICAP 400MG GEL B/10,3,2,"6,510",
8152459,CEFIDIS 200MG CP B/10,2,1,"7,290",
707890,CEFILEX 100MG/5ML PDRE F/60ML,7,4,"2,070",
707906,CEFILEX 200MG CP B/10,5,2,"3,440",
8398396,CEFIM 100MG SUSP F/60ML,2,2,"5,510",
8306023,CEFIM 200MG GEL B/12               ,1,2,"5,095",
8306017,CEFIM 400MG GEL B/6                ,1,0,"10,000",
1402001,CEFIWEL 200MG CP DISP B/10,11,3,"4,200",
1312391,CEFIXIM GH 100MG/5ML FL/100ML,13,3,"5,510",
1312401,CEFIXIM GH 200MG CP B/8,134,16,"3,440",
8142219,CEFIXIME SP 200MG COMP PELL B/10,2,2,"5,460",
1132381,CEFOLAC 200MG CPR PELL B/8,86,2,"3,960",
2267227,CEFTRIAXONE 1G TM IM/IV INJ F/5ML,2,2,"2,130",
1330101,CEFTRIAXONE IG 1000MG INJ B/1,17,3,"1,930",
1268001,CEFTRIMAX 1G INJ B/1,86,10,"1,530",
8142254,CEFUROXIME SP 500MG CP B/10,3,1,"7,940",
2271938,CETAFOR 1000MG IM B/1,3,4,"2,480",
2271921,CETAFOR 1000MG IV B/1,63,3,"2,510",
2288809,CETAZONE 1G AMP INJ                ,6,3,"2,510",
1404391,CEXIME 200MG CPR PELL B/10,2,2,"3,900",
1404401,CEXIME DS 100 SUSP FL/100ML,3,0,"3,240",
8077054,CICIAN 500MG CP PELL B/10,4,0,720,
8034932,CIFRAN CT 500MG  CPR B/10                 ,5,1,"6,090",
2270034,CIPRO DENK 500MG CP B/10           ,2,1,"4,160",
8332397,CIPROGLEN 500MG CPR B/10           ,11,2,"3,070",
2272151,CIPRONAT 250MG CP B/14,1,1,"1,650",
2272435,CIPRONAT 500MG CP B/14,43,3,"2,760",
2272493,CIPRONAT 750MG CP B/14             ,27,4,"3,860",
1585591,CIPROZOLE FORTE 500/600MG /20,1,3,"7,580",
2288962,CIPROZOLE FORTE 500/600MG CPR10    ,3,1,"5,510",
2296341,CIPTIN 250MG CP B/10               ,2,4,"2,135",
2288979,CIPTIN FORTE 500/600MG COMP B/10   ,36,3,"2,520",
1526321,CIPTIN PLUS KIT CP B/12,1,0,"5,210",
3320768,CLAMOXYL 1G CPR DISP B/12          ,25,4,"4,120",
3158753,CLAMOXYL 500MG GELULE B/12         ,59,12,"1,750",
3230002,CLAMOXYL 500MG SIROP FL/60ML       ,93,9,"1,960",
3849150,CLARITHRO BGR 500MG CP B/10,1,3,"6,940",
1448741,CLARITHRO VIR 500MG CP B/10,1,0,"5,300",
1312411,CLARITHROMYCIN GH 500MG CPR B/14,5,2,"3,980",
2296364,CLARITOX 500MG CP B/10,1,1,"5,060",
8306052,CLARIVA 500MG CP B/14              ,3,2,"9,365",
8108659,CLAVAM 1125MG CP B/12,7,2,"6,330",
8108642,CLAVAM 562.5MG CP PELL B/16,3,0,"5,310",
8108613,CLAVAM PDR SUSP 281G25 FL 60ML,12,2,"3,560",
8108636,CLAVAM PDR SUSP 562MG5 FL 60ML,7,2,"3,820",
2481733,"CLAVICIN PDR INJ 1,2G B/1          ",2,0,"2,310",
8413078,CLAVICIN XR 1G CP B/10,1,0,"6,230",
8108240,CLAVUMOCCID 1G CPR B/20,2,1,"8,955",
8513207,CLEDOMOX 1125MG CP B/16,1,0,"6,820",
2269864,COAMOX ACINO  1000MG CPR B/12             ,25,2,"7,610",
1205821,CO-AMOXICLAV SP 100/12.5 ENF/60,3,2,"4,100",
8173639,CO-AMOXICLAV SP1G/125MG AD SACHT B/12,1,2,"5,000",
1205831,CO-AMOXICMAV SP100/12.5 NOU/30,3,0,"2,420",
8185022,COMBIFLOX 200/500 CP B/10,5,2,"4,760",
1565871,CO-ORIXO 200MG/500MG CP B/10,21,4,"5,510",
2027428,COTRIM FORT 960MG CP B/10          ,18,2,"1,160",
8054260,COTRIMOXAZOLE UBI SP 480/5ML FL,59,2,"1,100",
8172019,CREAZITHRO 500MG CP B/3,30,3,"2,150",
8165798,CURAM 100/12.5 NN PDR BUV/30ML,26,4,"2,590",
8165746,CURAM 100/12.5MG ENF PDR BUV/60ML,14,3,"4,550",
2290545,CURAM 1000/125 SACHET B/12,7,2,"7,440",
2264393,CURAM 1G CPR B/10                  ,8,1,"7,050",
2254940,CURAM 1G IV INJ B/1,1,2,"2,560",
2254934,CURAM 500MG IV INJ B/1             ,10,0,"1,930",
1177141,CURAM 500MG/62.5MG B/16     ,2,4,"5,550",
8071873,DAZEL KIT CPR B/4                  ,44,4,"5,170",
8124279,DICACILLINE 0.6MUI SOL INJ B/1,13,4,"1,310",
8117440,DICACILLINE 1.2 UI SOL INJ B/1,17,3,"1,360",
8117457,DICACILLINE 2.4 SOL INJ B/1,78,0,"1,770",
8137282,DOXY 200 COMP B/8                  ,194,19,"2,370",
2290427,DOXY DENK 100MG CP B/20,1,0,"3,410",
2290284,DOXYNOR 100MG CP B/20              ,4,2,"4,130",
2285426,ENHANCIN 1G CPR B/12               ,5,3,"6,295",
2283605,ENTAMIZOL 250MG SIROP 100ML        ,2,2,"2,950",
2283580,ENTAMIZOLE DS 500MG CP B/15        ,2,3,"3,250",
3223887,ERY 500 COMP B/20                  ,1,2,"5,130",
3223870,ERY 500MG CPR B/10                 ,22,3,"3,370",
1483531,ESOFAG KIT 6CP 7KITS,3,1,"7,880",
8105075,FIXIM 100MG/5ML PDR SUSP 60ML,16,2,"6,610",
1388041,FIXIM 100MG/5ML S.BUV 40ML,10,5,"5,850",
8046160,FIXIM 200MG B/10 CP,50,6,"4,965",
1307611,FIXIM 400MG CPR B/5,2,1,"7,920",
8169537,FIXIM 40MG/5ML PDR SUSP 40ML,5,1,"4,130",
8151632,FIXINECT 200MG CP B/10,8,2,"4,200",
8171899,FIXXE 100/5ML PDRE SUSP BUV F/60ML,39,7,"3,980",
8171882,FIXXE 200MG CP DISP B/10,42,0,"4,880",
1513901,FIXXE 400MG CP DISP,1,2,"5,530",
1667481,FLAGIMAX 4% SP FL/120ML,6,1,"1,740",
1827801,FLAGIMAX 500MG CP B/15,24,3,"1,740",
1326161,FLAGYL 125MG/5ML  120ML              ,40,9,"2,600",
1511921,FLAGYL 250MG CP B/20               ,4,3,"2,670",
1320301,FLAGYL 500MG COMP B/14             ,68,12,"2,090",
2281894,FLEMING 1G 200MG  INJ F/5,6,2,"8,610",
2252740,FLEMING 1G/125MG CPR PELL B/16     ,37,2,"6,270",
8115412,"FLEMING 500/62,5MG SUSP FL/60ML    ",1,0,"4,135",
1312421,FLUCOGEN 250MG/5ML SUSP 100ML,1,1,"3,020",
8513118,FLUKOCIN 500MG GELU BT20,2,2,"3,720",
2291852,FLUOXINE 500MG CPR B/10            ,5,1,"2,340",
1670571,FOCE 200MG CP B/10,3,2,"5,510",
1685241,FOCE 40MG/5ML SUSP BUV F/50ML,1,2,"3,860",
1326291,FUCANOL 250MG/5ML SUSP F/100ML,1,0,"3,540",
3676637,FUCIDINE 250MG COMP B/10           ,24,3,"10,910",
1345131,FUCLO 1G INJ B/1,7,1,"2,755",
2259015,FUCLO 250MG F/100ML,24,4,"3,860",
2256933,FUCLO 500MG GEL B/24               ,97,8,"4,000",
1300911,GENCLAV 1G/125MG PDRE SUSP BUV SACH/16,36,7,"6,890",
1300891,GENCLAV 250/31.25MG SACHET B/12,6,3,"3,440",
1300901,"GENCLAV 500/62,5MG PDRE SUSP BUV SACH/12",5,3,"4,820",
8146973,GRAMOCEF 100MG SUSP BUV F/100ML,22,1,"6,195",
8108317,GRAMOCEF 200MG CP,3,1,"4,050",
8109191,GRAMOCEF O 50 DS F/100ML,1,2,"4,890",
  2037875,HELICOCIN CP B/42                 ,14,2,"6,960",
2297961,IMOX 500MG GEL B/10                 ,265,258,"1,955",
1343461,INDOFIX 100MG CP B/10,46,7,"3,860",
1507551,INDOFIX 100MG PDR S.BUV 60ML,137,7,"5,990",
9016706,INDOFIX 200MG CP B/10,167,3,"5,650",
1702941,INDOFIX 400MG CPR PELL B/10,27,3,"6,890",
8129377,INDOZONE 1G IV/IM INJ,41,9,"2,580",
8129383,INDOZONE-S 1G/500MG PDR INJ+SOLV AMP B/1,151,13,"4,070",
8144448,INTERCEF 100MG CP B/10,99,7,"1,500",
8141792,INTERCEF 100MG/5ML PDR FK/30ML,165,15,"1,680",
8162564,INTERCEF 200MG CPR PELL B/10,195,3,"3,640",
9001188,KETAFLOX 200MG CP B/10,2,2,"2,760",
8480258,KIRACLAV 100/12.5 PDRE FL/60ML,1,1,"4,160",
2259848,LEVOBACT 750MG CPR B/10            ,4,2,"7,190",
8110780,LEVORAY 500MG CP B/5,1,1,"3,444",
2276054,LIC CIFLOX 500MG CP PELL B/10      ,2,1,"2,500",
2278739,LIC NORFLOX 400MG CPR ENR B/10     ,3,2,"2,330",
2292047,LINCOMYCINE  CREAT 500MG GEL B/12,10,0,"2,480",
2278538,LIVOZED 500MGCP B/10,4,1,"7,315",
2282333,LONGAMYCINE 200MG CP B/8           ,9,2,"1,420",
8151247,MACROMAX SUSP BUV 200/5MG F/30ML,2,1,"5,880",
8180071,MEDICLAV 100/12.5 SUSP F/60,2,2,"3,030",
8180088,MEDICLAV 1000/125MG SACH/12,18,1,"5,170",
8417030,MEDICLAV 500/62.5MG CP B/12,1,2,"3,450",
8180102,MEDICLAV 500/62.5MG SACH/12,2,0,"4,360",
2256229,MEGACEF 100MG/5ML SP F/60ML        ,6,1,"7,510",
2274753,MEGACEF 200MG B/16 GELULE          ,7,1,"11,120",
2256212,MEGACEF 40MG/5ML SP F/60ML         ,2,2,"3,600",
8551952,MELCEF 200MG CP B/12,1,0,"5,400",
1669721,METOX SUSP BUV FL/100ML,2,0,840,
2285610,METRODEX PDRE SUSP BUV F/100ML     ,14,3,"2,180",
1215791,METROL 500MG CP B/20,24,2,"1,160",
1675111,METRON 125MG/5ML S.BUV 120ML,44,0,"1,200",
2295235,METRONIDAZOLE 125MG/5ML QT SP F/100ML,57,6,"1,120",
8054521,METRONIDAZOLE 125MG/5ML UBI SP F/100ML    ,133,11,770,
8054509,METRONIDAZOLE 500MG UBI SOL INJ    ,67,16,"1,130",
2296795,METRONYL 500MG CPR B/20            ,100,5,"1,500",
1301561,METROZAL 125MG/5ML SP F/120ML,6,2,"1,650",
1220731,METROZAL 500MG CP B/20,1,3,"2,070",
1284621,MEXIME 100MG/5ML S.BUV FL/60ML,3,1,"5,210",
1279081,MEXIME 200MG CP B/10,1,1,"5,230",
1284611,MEXIME 40MG/5ML S BUV FL/60ML,6,2,"2,810",
1545971,MICFOX 100MG CP B/10,1,1,"1,600",
1546001,MICFOX 100MG/5ML SRP FL/60ML,7,2,"2,070",
1546031,MICFOX 200MG CP B/10,2,1,"3,640",
1563361,MOXILAND 1G/125MG SUSP SACH/16,89,13,"7,000",
1702961,MOXILAND 1G/200 PDRE SOL INJ B/1,1,33,"2,200",
1563341,MOXILAND 250/31.25MG SUSP/60ML,86,12,"3,440",
1563351,MOXILAND 500/62.50MG SUSP 60ML,9,0,"3,965",
1563381,MOXILAND 500/62.50MG SUSP SAC16,27,2,"4,975",
8151997,NECTRAM 1G INJECTABLE,9,-1,"2,000",
8152962,NEUCIPRO INJ 200MG FL/100ML,1,2,"2,760",
4031368,NIDAZOL CP 500MG B/20              ,3,2,"1,650",
2295324,NORFIX 400MG COMP ENR B/10,1,1,"4,820",
8152614,NORFLOZOL 500/400 CP B/10,3,1,"4,130",
8161033,NORMIX 200MG CP B/12,1,1,"5,240",
1524231,NYSTATINE UBI 1MUI SUSP BUV F/30ML,9,1,"1,380",
8174030,OFIKEN 100/5ML PDRE SP F/60ML,1,1,"5,820",
8174047,OFIKEN 200MG CPR PELL SEC B/16,1,1,"6,200",
3290323,OFLOCET 200MG COMP B/10            ,31,2,"6,200",
2277415,OFLOCINE 200MG CPR B/10            ,12,2,"2,940",
2255939,OFLOCINE PERF F/100ML              ,19,2,"3,680",
2295382,OFLOXACINE TM 200MLG CP B/10,1,1,"2,730",
8446037,OFLOZOLE 200/500MG CP B/10,2,1,"2,410",
8140203,ONECEF 1MG INJ 10ML B/1,4,1,"1,530",
8146051,ORELOX 200MG CP B/10,6,1,"10,330",
3360408,ORELOX GLE P SUSP 40MG/5ML 100ML      ,2,3,"10,370",
3360383,ORELOX GLE P SUSP 40MG/5ML 50ML      ,1,1,"5,940",
1323281,ORIXO 200MG CP B/10,8,3,"3,470",
3358989,OROKEN 100MG PDR SUSP FL 200DOS    ,1,3,"9,810",
3313113,OROKEN 200MG COMP B/8           ,2,1,"9,780",
2011203,OSPAMOX 1000MG COMP B/12           ,1,1,"3,410",
2009181,OSPAMOX 250MG SUSP GLES FL/60ML    ,1,1,"1,680",
3132162,OSPEN 1M COMP B/12                 ,74,1,"2,890",
8054455,OXACILLINE UBI 250MG/5ML SP        ,2,0,"1,470",
2285739,OXAGRAM 500MG GEL B/24             ,5,2,"4,200",
1242201,OXICLAR 125/ML PDR FL/100ML,2,2,"2,925",
1242191,OXICLAR 250MG/ML PDR FL/100ML,20,3,"3,440",
1330751,OXICLAR 500MG GEL B/24,90,4,"3,340",
8111897,PHARPEN 250MG SUSP FL/60ML,4,1,"1,735",
8110432,PHARPEN 500MG GELB/12,1,1,"2,840",
8172640,PHARTRIM FORTE 800/160MG CPR B/10,1,1,"1,520",
8039183,RAPICLAV 1G CP B/14  ,70,4,"6,695",
2294253,RAPICLAV 625MG CP 7 BL 3           ,2,7,"4,130",
3267525,ROCEPHINE 1G AMP IM B/1            ,1,1,"8,920",
3324708,ROVAMYCINE 3M U.I COMP B/10        ,18,2,"5,290",
8394524,ROX-MYCIN CPR B/10                 ,2,2,"3,500",
8112649,SOCLAV 100/12.5MG FL/60ML,4,2,"3,860",
8138979,SOCLAV 1G/125MG SACHET B/16,48,2,"7,980",
8112603,SOCLAV 500/62.5MG SACHET B/16,1,2,"6,120",
8147197,SOLEXIM 100MG/5ML PDR F/60ML,1,1,"5,540",
8147174,SOLEXIM 200MG CP B/10,1,3,"4,470",
8147180,SOLEXIM-N 50MG/5ML PDRE SUSP BUV F/60ML,3,0,"3,450",
2256956,SPIRALIDE 3MUI CPR B/10            ,1,2,"4,960",
8150696,STARPEN 1000 COMP ENR B/12         ,2,4,"2,340",
2297990,STERICEF 1G INJ 10ML B/1           ,1,12,"2,070",
1091191,STERITAX 1G/500MG PDRE INJ+SOLV B1,18,4,"3,440",
8462533,SULBACEF 1.5G INJ 10ML,10,5,"4,130",
8043138,SULFOBACTIN 500MG CP B/20          ,1,1,"6,820",
8151000,SWICH 200MG CPB/10,1,1,"7,850",
1702971,TARTIZOLE 150MG CPR B/1,33,9,"1,380",
8137313,TAXIM O 200MG CP B/10,9,0,"6,810",
1404791,TAXIM O FORTE 100MG/5ML SUSP BUV 60ML,2,2,"4,630",
1440231,THEOCLAV 250MG FL/100ML,2,0,"2,590",
1440271,THEOFIX 200MG CP B/10,1,1,"4,200",
1440281,THEOMOX 250MG FL/100ML,2,1,"1,380",
8169922,THIOBACTIN 250MG/5ML SUSP60ML,19,0,"4,115",
2031312,THIOBACTIN 500MG COMP B/24         ,33,2,"9,410",
2282942,TICASSE 200/28MG PDRE SUSP BUV 70ML,323,36,"2,520",
2282936,TICASSE 400/57MG PDRE SUSP BUV 70ML,20,5,"4,650",
2270695,TICASSE 625 CP B/15,18,2,"5,040",
2267316,TICASSE 875/125MG CPR B/14         ,95,2,"6,200",
8152755,TOCFIM 200MG CP B/10,2,0,"3,340",
1277851,TRIAF 1G INJ B/1,70,2,"1,970",
1293551,TRIMOL 240MG/5ML S.BUV 100ML,160,3,730,
1215881,TRIMOL FORTE 960MG CP B/10,18,4,730,
8444759,TRISPORIN CP B/10,12,2,"4,600",
1307571,TRISPORIN S.BUV FL/100ML,28,1,"5,170",
2018501,UCLAPRIM FORTE COMP B/10           ,6,0,"1,380",
8148601,UTRIXONE 1000MG INJ COMNIPA/1,29,12,"1,380",
8142403,UZET 500MG CP B/3,2,3,"4,920",
2297180,VICLINE 200MG CPR PELL SEC B/10     ,15,3,"1,400",
8111733,ZAMOX 1000 MG/125 S/12,2,2,"5,240",
8111762,ZAMOX 500/62.5MG SACH B/12,2,1,"3,650",
9001366,ZEXIM 100MG/5ML PDRE SP F/30ML,8,0,"5,820",
9001372,ZEXIM 200MG/5ML POUDRE SP F/30ML,3,2,"6,300",
9001389,ZEXIM 400MG GEL B/5,2,2,"5,790",
1652371,ZIBACT 500MG CP B/3,2,0,"3,770",
8182609,ZICLAV 1G/125MG CP PELL B/16,38,1,"7,000",
8182615,ZICLAV 250/31.25MG SP F/60ML,24,0,"3,530",
8182638,ZICLAV 500/61.5MG SP F/60ML,4,2,"3,840",
1548481,ZIFLUSEC KIT 1G/1G/150MG B/4,3,2,"3,440",
3312148,ZINNAT 250MG CPR B/8               ,1,1,"6,850",
2268853,ZITHROMAX 500MG CP B/3             ,1,0,"10,840",
8018086,ZOCIN 200MG/5ML SUSP BUV F/15ML    ,6,2,"2,660",
2277088,ZOCIN 500MG 1BL/3                  ,7,2,"5,540",
,,Nombre d'articles :,333,,
Code Géo :,ANTIPALUDIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8172002,ACURE 20/120 FL/30ML,23,5,"1,550",
1402021,ACURE 20MG/120MG CPR DISP B/6,4,1,"1,380",
1401121,ACURE 40/240 CP B/6,22,3,"1,820",
8170598,ACURE 40/240 SP F/30ML,26,1,"2,000",
8177287,ACURE 60MG/360MG ADO PDRE SUSPBUV F/30ML,3,2,"2,065",
8456030,ACURE 60MG/360MG CPR DISP B/6,3,4,"2,275",
8171994,ACURE 80/480 B/6,51,6,"2,100",
8177376,ALFACURE 40/240MG CP B/6,2,2,"1,520",
8177382,ALFACURE 80/480MG CP B/6,5,2,"2,480",
1307631,ALLNAT 120MG IV PDR SOL INJ/1,9,9,"2,810",
1307621,ALLNAT 60MG IV INJ B/1,1,6,"1,650",
1236931,ALM DS 80MG/480MG CPR B/6,20,2,"2,135",
1544951,ANOFEL 80MG/480MG CP B/6,59,14,"1,720",
1787141,AQUANATE 120MG INJ ,77,4,"2,620",
1786241,AQUANATE 30MG INJ,42,5,950,
1277831,AQUANATE 60 INJ B/1,103,3,"1,520",
8310875,ARSIQUINOFORME 250MG CP B/15       ,29,10,"2,500",
8088164,ARTEFAN 180/1080MG SUSP F/60ML    ,3,2,"2,230",
2298794,ARTEFAN 20/120 CP B/24             ,2,2,"2,790",
2288927,ARTEFAN 20/120MG CPR DISP B/6      ,80,17,830,
1307641,ARTEFAN 20/120MG SUSP F/30ML,355,54,"1,380",
8145287,ARTEFAN 40/240MG CP B/6,167,17,"1,720",
1307651,ARTEFAN 40/240MG SUSP F/30ML,121,39,"2,100",
8145293,ARTEFAN 60/360 CP BLIST B/6,79,20,"2,170",
1307661,ARTEFAN 60/360MG SUSP F/30ML,13,3,"2,580",
8076190,ARTEFAN 80/480 CP B/6              ,649,54,"2,180",
1307671,ARTEFAN 80/480MG SUSP F/30ML,3,3,"2,790",
1307681,ARTEFAN DT 40/240 CP B/6,8,3,"1,750",
1212981,ARTEJECT 80MG/ML S.INJ AMP B/6,66,8,"4,710",
2252349,ARTEM 40MG AMP INJ B/6             ,3,2,"3,820",
2252355,ARTEM 80MG AMP INJ B/6             ,3,2,"5,880",
2282675,ARTEMETHER TM 80MG INJ AMP 1ML B/6,1,1,"4,230",
2278432,ARTEMETHER UBI 20MG INJ B/10,1,1,"5,510",
2271447,ARTEMETHER UBI 40MG INJ B/10       ,15,3,"8,300",
8099452,ARTEMETHER UBI 80MG INJ B/10       ,72,3,"11,210",
2265458,ARTESIANE 40MG SUPPOGEL B/6        ,6,2,"3,500",
8022219,ARTESUN 120MG S INJ B/1,8,9,"3,340",
2268439,ARTESUN 60MG S INJ B/1,5,7,"1,750",
1305921,ARTESUPPO 200,15,2,"3,440",
1305911,ARTESUPPO-100,2,3,"2,785",
1305901,ARTESUPPO-50 ,1,2,"1,870",
8173071,ARTHEL 80/480 CP B/6,3,1,"2,200",
1597841,ARTHER 15MG/90MG/5ML SUSP 60ML,4,1,"1,515",
1597831,ARTHER FORTE 80MG/480MG CP B/6,30,0,"2,060",
8181194,ARTILEX 80/480 MG CP B/6,3,2,"2,620",
8182124,ARTRIM GH 20/120MG CP B/6,3,4,690,
8162601,ARTRIM GH 80/480MG CP B/6,150,0,"1,515",
8066599,ARTRIM SUSP BUV 15/90MG F/60ML     ,3,3,"3,130",
8104087,ARTRINE 40MG/240MG CPR B/12        ,2,3,"2,380",
1468951,ARTRINE 60/360MG CP B/6,5,2,"1,540",
0902471,ARTRINE 80/480MG CPR B/6,79,5,"2,410",
2260047,ARTRINE CP 20/120MG B/24           ,2,2,"2,380",
