GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
2025300,BIODROXIL SUSP 250MG/5ML           ,1,0,"3,235",
8192111,BIOTIC PLUS 100MG ENF 60ML,3,1,"3,920",
8192097,BIOTIC PLUS 1G/125MG SACH B/14,3,1,"5,510",
8081771,BONCIPRO CP 750MG B/20,1,2,"6,890",
2288749,CARY 125MG/5ML SP FL/60ML          ,4,2,"1,880",
2035511,CEDROX 250MG PDR SIROP FL/60ML     ,5,0,"3,130",
2035497,CEDROX 500MG GEL B/12              ,1,1,"4,800",
2272470,CEDROX 500MG PDR SP FL/60ML        ,2,1,"4,820",
2273469,CEFALORAL 200MG CP B/10            ,12,0,"3,930",
1305931,CEFALORAL SUSP NOURRISSON,1,1,"2,760",
707890,CEFILEX 100MG/5ML PDRE F/60ML,3,4,"2,070",
8398396,CEFIM 100MG SUSP F/60ML,1,2,"5,510",
1402001,CEFIWEL 200MG CP DISP B/10,21,3,"4,200",
1312391,CEFIXIM GH 100MG/5ML FL/100ML,8,3,"5,510",
1312401,CEFIXIM GH 200MG CP B/8,9,16,"3,440",
8155216,CEFIXIME SP 100MG/5ML PDRE SUSP F/60ML,1,2,"5,500",
8142219,CEFIXIME SP 200MG COMP PELL B/10,3,2,"5,460",
1132381,CEFOLAC 200MG CPR PELL B/8,2,2,"3,960",
1330101,CEFTRIAXONE IG 1000MG INJ B/1,2,3,"1,930",
1268001,CEFTRIMAX 1G INJ B/1,34,10,"1,530",
2271938,CETAFOR 1000MG IM B/1,1,4,"2,480",
2288809,CETAZONE 1G AMP INJ                ,8,3,"2,510",
2294678,CETAZONE INJ 250MG IM/IV B/1       ,3,0,"1,650",
1404391,CEXIME 200MG CPR PELL B/10,6,2,"3,900",
1404401,CEXIME DS 100 SUSP FL/100ML,10,0,"3,240",
8112939,CIPOTAX 500MG/600MG CP B/30,1,1,"8,300",
8332397,CIPROGLEN 500MG CPR B/10           ,3,2,"3,070",
2272435,CIPRONAT 500MG CP B/14,20,3,"2,760",
2272493,CIPRONAT 750MG CP B/14             ,11,4,"3,860",
1585591,CIPROZOLE FORTE 500/600MG /20,14,3,"7,580",
2288962,CIPROZOLE FORTE 500/600MG CPR10    ,4,1,"5,510",
2288979,CIPTIN FORTE 500/600MG COMP B/10   ,9,3,"2,520",
3211105,CLAMOXYL 125 PDRE SP FL/60ML       ,5,0,"1,140",
3320768,CLAMOXYL 1G CPR DISP B/12          ,21,4,"4,120",
3211128,CLAMOXYL 250MG SIROP F/60ML        ,9,0,"1,215",
3158753,CLAMOXYL 500MG GELULE B/12         ,50,12,"1,750",
3230002,CLAMOXYL 500MG SIROP FL/60ML       ,45,9,"1,960",
3849813,CLARITHRO BGR 250MG CP B/10,1,2,"3,970",
1312411,CLARITHROMYCIN GH 500MG CPR B/14,1,2,"3,980",
2296364,CLARITOX 500MG CP B/10,1,1,"5,060",
8108659,CLAVAM 1125MG CP B/12,2,2,"6,330",
8108642,CLAVAM 562.5MG CP PELL B/16,1,0,"5,310",
8108613,CLAVAM PDR SUSP 281G25 FL 60ML,11,2,"3,560",
8108636,CLAVAM PDR SUSP 562MG5 FL 60ML,1,2,"3,820",
2481733,"CLAVICIN PDR INJ 1,2G B/1          ",7,0,"2,310",
2269864,COAMOX ACINO  1000MG CPR B/12             ,1,2,"7,610",
1565871,CO-ORIXO 200MG/500MG CP B/10,5,4,"5,510",
8054260,COTRIMOXAZOLE UBI SP 480/5ML FL,15,2,"1,100",
8172019,CREAZITHRO 500MG CP B/3,14,3,"2,150",
1596221,CROCILLINE 125MG/5ML FL/60ML,45,2,770,
8165798,CURAM 100/12.5 NN PDR BUV/30ML,26,4,"2,590",
8165746,CURAM 100/12.5MG ENF PDR BUV/60ML,4,3,"4,550",
2290545,CURAM 1000/125 SACHET B/12,1,2,"7,440",
2264393,CURAM 1G CPR B/10                  ,5,1,"7,050",
2254940,CURAM 1G IV INJ B/1,1,2,"2,560",
2254934,CURAM 500MG IV INJ B/1             ,1,0,"1,930",
1177141,CURAM 500MG/62.5MG B/16     ,3,4,"5,550",
8071873,DAZEL KIT CPR B/4                  ,16,4,"5,170",
8124279,DICACILLINE 0.6MUI SOL INJ B/1,15,4,"1,310",
8117440,DICACILLINE 1.2 UI SOL INJ B/1,8,3,"1,360",
8117457,DICACILLINE 2.4 SOL INJ B/1,59,0,"1,770",
8137282,DOXY 200 COMP B/8                  ,61,18,"2,370",
2290427,DOXY DENK 100MG CP B/20,3,0,"3,410",
8153884,DOXY DENK 200MG CP B/8,1,0,"2,070",
2290284,DOXYNOR 100MG CP B/20              ,1,2,"4,130",
2285426,ENHANCIN 1G CPR B/12               ,12,3,"6,295",
2283605,ENTAMIZOL 250MG SIROP 100ML        ,3,2,"2,950",
3242554,ERY 250 PDRE ORALE SACH B/24       ,9,0,"3,260",
3223887,ERY 500 COMP B/20                  ,3,2,"5,130",
3223870,ERY 500MG CPR B/10                 ,11,3,"3,370",
8368946,EUROMOX SUSP 125MG/5ML FL/60ML,10,0,840,
8368952,EUROMOX SUSP 250MG/5ML FL/60ML,2,0,"1,050",
8105075,FIXIM 100MG/5ML PDR SUSP 60ML,4,2,"6,610",
1388041,FIXIM 100MG/5ML S.BUV 40ML,5,5,"5,850",
8046160,FIXIM 200MG B/10 CP,31,6,"4,965",
1307611,FIXIM 400MG CPR B/5,2,1,"7,920",
8169537,FIXIM 40MG/5ML PDR SUSP 40ML,10,1,"4,130",
8151632,FIXINECT 200MG CP B/10,1,2,"4,200",
8171899,FIXXE 100/5ML PDRE SUSP BUV F/60ML,16,7,"3,980",
8171882,FIXXE 200MG CP DISP B/10,11,0,"4,880",
1326161,FLAGYL 125MG/5ML  120ML              ,39,9,"2,600",
1511921,FLAGYL 250MG CP B/20               ,4,3,"2,670",
1320301,FLAGYL 500MG COMP B/14             ,58,12,"2,090",
2252740,FLEMING 1G/125MG CPR PELL B/16     ,5,2,"6,270",
8115412,"FLEMING 500/62,5MG SUSP FL/60ML    ",1,0,"4,135",
2283864,FLEMING CP 500/62.5MG B/16   ,6,0,"4,160",
2024683,FLOXAPEN 500MG GELULES B/20        ,3,0,"4,280",
1254831,FLUCOGEN  500MG GEL B/12,48,2,"1,740",
1312421,FLUCOGEN 250MG/5ML SUSP 100ML,7,1,"3,020",
8513118,FLUKOCIN 500MG GELU BT20,1,2,"3,720",
2291852,FLUOXINE 500MG CPR B/10            ,2,1,"2,340",
1326301,FUCANOL 500MG GELU B/12,3,0,"2,340",
3676637,FUCIDINE 250MG COMP B/10           ,2,3,"10,910",
2259015,FUCLO 250MG F/100ML,21,4,"3,860",
2256933,FUCLO 500MG GEL B/24               ,67,8,"4,000",
1300911,GENCLAV 1G/125MG PDRE SUSP BUV SACH/16,4,7,"6,890",
8146973,GRAMOCEF 100MG SUSP BUV F/100ML,1,1,"6,195",
  2037875,HELICOCIN CP B/42                 ,2,2,"6,960",
2297961,IMOX 500MG GEL B/10                 ,62,258,"1,955",
1343461,INDOFIX 100MG CP B/10,4,7,"3,860",
1507551,INDOFIX 100MG PDR S.BUV 60ML,23,7,"5,990",
9016706,INDOFIX 200MG CP B/10,77,3,"5,650",
8129377,INDOZONE 1G IV/IM INJ,34,9,"2,580",
8129383,INDOZONE-S 1G/500MG PDR INJ+SOLV AMP B/1,51,13,"4,070",
8144448,INTERCEF 100MG CP B/10,71,7,"1,500",
8141792,INTERCEF 100MG/5ML PDR FK/30ML,99,15,"1,680",
8162564,INTERCEF 200MG CPR PELL B/10,8,3,"3,640",
8177614,JOYCLAV 281.25 MG SUSP 60ML,3,0,"3,680",
8177608,JOYCLAV 875MG/125MG CP B/12,8,0,"5,920",
9001188,KETAFLOX 200MG CP B/10,3,2,"2,760",
8069936,LEVOTOP 500MG CP B/10              ,1,1,"8,680",
2276054,LIC CIFLOX 500MG CP PELL B/10      ,2,1,"2,500",
2292047,LINCOMYCINE  CREAT 500MG GEL B/12,4,0,"2,480",
2282333,LONGAMYCINE 200MG CP B/8           ,4,2,"1,420",
8147895,LYAMOX 1G CP B/12,7,0,"2,590",
8147903,LYZIT CP B/3,24,0,"3,675",
8180071,MEDICLAV 100/12.5 SUSP F/60,3,2,"3,030",
2256212,MEGACEF 40MG/5ML SP F/60ML         ,6,2,"3,600",
8103633,METRODEX 500MG CP B/20,11,1,"2,100",
2285610,METRODEX PDRE SUSP BUV F/100ML     ,3,3,"2,180",
8430639,METROL 125MG/5ML FL/120ML,55,4,"1,050",
1215791,METROL 500MG CP B/20,28,2,"1,160",
1293541,METROL 500MG/100ML S.INJ 100ML,"2,230",0,515,
8054521,METRONIDAZOLE 125MG/5ML UBI SP F/100ML    ,85,11,770,
8054509,METRONIDAZOLE 500MG UBI SOL INJ    ,16,16,"1,130",
2295258,METRONIDAZOLE TONG 500MG CP/20,6,0,950,
8174662,METRONYL 125 SP F/200ML,18,0,"1,180",
2296795,METRONYL 500MG CPR B/20            ,47,5,"1,500",
1284621,MEXIME 100MG/5ML S.BUV FL/60ML,6,1,"5,210",
1279081,MEXIME 200MG CP B/10,2,1,"5,230",
1284611,MEXIME 40MG/5ML S BUV FL/60ML,8,2,"2,810",
1546001,MICFOX 100MG/5ML SRP FL/60ML,1,2,"2,070",
1546031,MICFOX 200MG CP B/10,1,1,"3,640",
1563361,MOXILAND 1G/125MG SUSP SACH/16,33,13,"7,000",
1702961,MOXILAND 1G/200 PDRE SOL INJ B/1,1,33,"2,200",
1563341,MOXILAND 250/31.25MG SUSP/60ML,38,12,"3,440",
1563351,MOXILAND 500/62.50MG SUSP 60ML,4,0,"3,965",
1563381,MOXILAND 500/62.50MG SUSP SAC16,8,2,"4,975",
3517904,MYCOSTATINE BUV SUSP FL 24ML       ,5,0,"2,400",
2264855,NORFEN 400MG CP B/10               ,2,1,"2,650",
8161033,NORMIX 200MG CP B/12,3,1,"5,240",
1524231,NYSTATINE UBI 1MUI SUSP BUV F/30ML,1,1,"1,380",
8174030,OFIKEN 100/5ML PDRE SP F/60ML,1,1,"5,820",
1177161,OFLAB OZ 200MG CP B/10,1,0,"2,200",
3290323,OFLOCET 200MG COMP B/10            ,10,2,"6,200",
2277415,OFLOCINE 200MG CPR B/10            ,8,2,"2,940",
2255939,OFLOCINE PERF F/100ML              ,5,2,"3,680",
2282646,OFLOMAC 200MG CP B/10,2,2,"2,960",
8446037,OFLOZOLE 200/500MG CP B/10,2,1,"2,410",
8140203,ONECEF 1MG INJ 10ML B/1,1,1,"1,530",
2262098,OREX 250MG SP F/60ML               ,1,1,"2,510",
1323281,ORIXO 200MG CP B/10,2,3,"3,470",
1323291,ORIXO 400MG CPR B/10,1,2,"5,540",
3358989,OROKEN 100MG PDR SUSP FL 200DOS    ,1,3,"9,810",
3313113,OROKEN 200MG COMP B/8           ,1,1,"9,780",
2011203,OSPAMOX 1000MG COMP B/12           ,1,1,"3,410",
2009181,OSPAMOX 250MG SUSP GLES FL/60ML    ,7,1,"1,680",
3132162,OSPEN 1M COMP B/12                 ,48,1,"2,890",
8054455,OXACILLINE UBI 250MG/5ML SP        ,2,0,"1,470",
2285739,OXAGRAM 500MG GEL B/24             ,2,2,"4,200",
9001248,OXAPEN 250MG/5ML SP 60ML,3,2,"2,140",
1242201,OXICLAR 125/ML PDR FL/100ML,2,2,"2,925",
1242191,OXICLAR 250MG/ML PDR FL/100ML,13,3,"3,440",
1330751,OXICLAR 500MG GEL B/24,81,4,"3,340",
8111897,PHARPEN 250MG SUSP FL/60ML,3,1,"1,735",
8172628,PHARTRIM SP F/100ML,5,0,"1,655",
8039183,RAPICLAV 1G CP B/14  ,16,4,"6,695",
2294253,RAPICLAV 625MG CP 7 BL 3           ,4,7,"4,130",
3124168,"ROVAMYCINE 1,5 M UI COMP B/16      ",1,2,"5,380",
3324708,ROVAMYCINE 3M U.I COMP B/10        ,11,2,"5,290",
8394524,ROX-MYCIN CPR B/10                 ,1,2,"3,500",
8179760,SAPHIR AD 1000/125MG PDRE SUSP SACH/16,1,1,"6,980",
8138979,SOCLAV 1G/125MG SACHET B/16,3,2,"7,980",
8147174,SOLEXIM 200MG CP B/10,2,3,"4,470",
2256956,SPIRALIDE 3MUI CPR B/10            ,2,2,"4,960",
8440537,SPIREX PLUS CP B/20,1,1,"5,950",
8576991,STAPHYPEN 500MG GEL B/20           ,1,0,"3,460",
8150696,STARPEN 1000 COMP ENR B/12         ,1,4,"2,340",
1091191,STERITAX 1G/500MG PDRE INJ+SOLV B1,2,4,"3,440",
8462533,SULBACEF 1.5G INJ 10ML,3,5,"4,130",
8169916,SUPPLIN 500MG CP B/20              ,2,0,"3,000",
8151000,SWICH 200MG CPB/10,3,1,"7,850",
3496556,TAVANIC CP SECA 500MG BT/5         ,2,1,"10,710",
8137313,TAXIM O 200MG CP B/10,6,0,"6,810",
1404791,TAXIM O FORTE 100MG/5ML SUSP BUV 60ML,1,2,"4,630",
1440281,THEOMOX 250MG FL/100ML,10,1,"1,380",
8169922,THIOBACTIN 250MG/5ML SUSP60ML,4,0,"4,115",
2031312,THIOBACTIN 500MG COMP B/24         ,6,2,"9,410",
2282942,TICASSE 200/28MG PDRE SUSP BUV 70ML,51,36,"2,520",
2282936,TICASSE 400/57MG PDRE SUSP BUV 70ML,5,5,"4,650",
2267316,TICASSE 875/125MG CPR B/14         ,17,2,"6,200",
8152749,TOCFIM100/5MLPDRF/60ML,1,1,"3,790",
8078042,TOP 3 KIT CP B/4,2,2,"4,165",
1293551,TRIMOL 240MG/5ML S.BUV 100ML,165,3,730,
1215881,TRIMOL FORTE 960MG CP B/10,11,4,730,
2018501,UCLAPRIM FORTE COMP B/10           ,9,0,"1,380",
8140373,UMEXIM 200MG GEL B/10,19,0,"4,330",
1002501,UNOZIT 500MG CP B/3,2,1,"4,990",
8148601,UTRIXONE 1000MG INJ COMNIPA/1,4,12,"1,380",
8141697,UZET 200MG/5ML SP F/15ML,2,1,"3,410",
8142403,UZET 500MG CP B/3,4,3,"4,920",
2297180,VICLINE 200MG CPR PELL SEC B/10     ,17,3,"1,400",
9001366,ZEXIM 100MG/5ML PDRE SP F/30ML,2,0,"5,820",
8182609,ZICLAV 1G/125MG CP PELL B/16,2,1,"7,000",
1512041,ZICLAV 1G/200MG INJ IV,30,0,"2,080",
8182615,ZICLAV 250/31.25MG SP F/60ML,7,0,"3,530",
3312148,ZINNAT 250MG CPR B/8               ,1,1,"6,850",
2025286,ZITHROMAX 200MG FL/15ML            ,2,0,"5,275",
2268853,ZITHROMAX 500MG CP B/3             ,1,0,"10,840",
8018086,ZOCIN 200MG/5ML SUSP BUV F/15ML    ,8,2,"2,660",
2277088,ZOCIN 500MG 1BL/3                  ,3,2,"5,540",
,,Nombre d'articles :,273,,
Code Géo :,ANTIPALUDIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8172002,ACURE 20/120 FL/30ML,27,5,"1,550",
1402021,ACURE 20MG/120MG CPR DISP B/6,7,1,"1,380",
1401121,ACURE 40/240 CP B/6,3,3,"1,820",
8170598,ACURE 40/240 SP F/30ML,14,1,"2,000",
8177287,ACURE 60MG/360MG ADO PDRE SUSPBUV F/30ML,1,2,"2,065",
8171994,ACURE 80/480 B/6,19,6,"2,100",
8177382,ALFACURE 80/480MG CP B/6,5,2,"2,480",
1307631,ALLNAT 120MG IV PDR SOL INJ/1,3,9,"2,810",
1307621,ALLNAT 60MG IV INJ B/1,9,6,"1,650",
1544951,ANOFEL 80MG/480MG CP B/6,29,14,"1,720",
8310875,ARSIQUINOFORME 250MG CP B/15       ,47,10,"2,500",
8088164,ARTEFAN 180/1080MG SUSP F/60ML    ,6,2,"2,230",
2288927,ARTEFAN 20/120MG CPR DISP B/6      ,80,17,830,
1307641,ARTEFAN 20/120MG SUSP F/30ML,215,54,"1,380",
8145287,ARTEFAN 40/240MG CP B/6,60,17,"1,720",
1307651,ARTEFAN 40/240MG SUSP F/30ML,60,39,"2,100",
8145293,ARTEFAN 60/360 CP BLIST B/6,67,20,"2,170",
1307661,ARTEFAN 60/360MG SUSP F/30ML,3,3,"2,580",
8076190,ARTEFAN 80/480 CP B/6              ,293,54,"2,180",
1307671,ARTEFAN 80/480MG SUSP F/30ML,2,3,"2,790",
1307681,ARTEFAN DT 40/240 CP B/6,32,3,"1,750",
1212981,ARTEJECT 80MG/ML S.INJ AMP B/6,14,8,"4,710",
2282675,ARTEMETHER TM 80MG INJ AMP 1ML B/6,1,1,"4,230",
2278432,ARTEMETHER UBI 20MG INJ B/10,1,1,"5,510",
2271447,ARTEMETHER UBI 40MG INJ B/10       ,1,3,"8,300",
8099452,ARTEMETHER UBI 80MG INJ B/10       ,5,3,"11,210",
1552701,ARTEQUICK 62.5/375MG CP B/6,1,0,"3,440",
2265458,ARTESIANE 40MG SUPPOGEL B/6        ,1,2,"3,500",
2268439,ARTESUN 60MG S INJ B/1,7,7,"1,750",
1597831,ARTHER FORTE 80MG/480MG CP B/6,10,0,"2,060",
8181194,ARTILEX 80/480 MG CP B/6,1,2,"2,620",
8181975,ARTRIM 40/240MG CPR B/6,9,0,"1,790",
8182124,ARTRIM GH 20/120MG CP B/6,2,4,690,
8162601,ARTRIM GH 80/480MG CP B/6,192,0,"1,515",
8066599,ARTRIM SUSP BUV 15/90MG F/60ML     ,6,3,"3,130",
1468961,ARTRINE 20/120MG CP B/6,1,3,600,
8104087,ARTRINE 40MG/240MG CPR B/12        ,6,3,"2,380",
1468951,ARTRINE 60/360MG CP B/6,5,2,"1,540",
0902471,ARTRINE 80/480MG CPR B/6,57,5,"2,410",
2260047,ARTRINE CP 20/120MG B/24           ,4,2,"2,380",
8551722,ASMETHER L 40/240MG CP B/6,5,0,"1,035",
8488917,ASMETHER L CP 80/480MG B/6,1,2,"2,755",
2291183,ASU DENK FIXED DOSE CPR BT/3       ,1,0,"3,510",
8154671,AUROTHER 80/480MG CP B/6,14,3,"1,860",
8147636,BIMALARIL 40/240 CP B/6,8,2,"2,400",
8147642,BIMALARIL 60/360 CP B/6,5,5,"2,760",
2255974,BIMALARIL 80/480 CP B/6                   ,35,4,"2,330",
2255069,BIMALARIL ADO SUSP F/30ML,2,0,"2,760",
2255098,BIMALARIL BB SP F/30ML             ,45,12,"1,500",
2255081,BIMALARIL ENFT SP F/30ML           ,28,5,"2,660",
8147607,BIMALARIL PLUS GELULES B/6,7,3,"3,430",
8168383,CHINTHER 80/480 CP B/6,27,2,"2,360",
2283284,CO ARINATE FDC AD CP B/3           ,63,15,"2,960",
2283350,CO ARINATE FDC ENF CP B/3          ,26,10,"2,410",
8111638,COARTEM 20/120MG DISP CP B/12,5,3,"2,070",
8109185,COARTEM 20/120MG DISP CP B/6,11,2,"1,190",
8150845,COARTEM 80/480MG CP B/6,75,12,"2,630",
2293934,COFANTRINE 180/1080MG SP FL/60ML   ,2,2,"2,685",
2267859,COFANTRINE AD 80/480MG CP B/6      ,4,4,"2,690",
8410387,COMBIART 20/120MG CP B/24,6,1,"2,690",
8426000,COMBIART 80/480MGCP B/6,12,3,"2,200",
8197002,COMBIMAL CP/DETAIL                 ,33,4,470,
1303971,CO-PALUTEM 80/480MG CP B/6,7,0,"2,000",
1233991,D-ARTEPP 20MG/160MG CP DISP,1,0,"1,380",
8129348,D-ARTEPP 40/320MG CP PELL B/9,1,2,"3,785",
9002785,D-ARTEPP 60/480MG CP B/6,1,0,"3,310",
1330131,DIARTEM IG AD 120/960 MG CP B/3,3,1,"3,030",
2273245,DIE KOUADIO GEL B/50  STERRE,1,1,"5,000",
1417321,DPQUINE 40-320MG CP B/9,6,4,"3,350",
1405631,DPQUINE 90-720 SUSP FL/60ML,19,4,"2,310",
8440388,DUOPAL 80MG/480MG CP B/6,2,1,"1,920",
8170836,DUOQUIN 40/320MG CP B/9,23,7,"2,500",
8700180,DUOTAB CP 40/320MG B/9,1,0,"2,750",
8175443,EURARTESIM 320MG/40MG CPR B/9,5,1,"3,305",
2287862,FANSIDAR COMP B/3                  ,8,0,"1,240",
8152181,GEN M 15MG/90MG S.BUV FL/30ML,3,1,"1,390",
8152229,GEN M 80MG/480MG CP B/6,1,3,"2,480",
8152175,GEN M DS 30MG/180MG S.BUV 30ML,2,0,"2,010",
2297978,LARIDOX 525MG CP B/3               ,55,47,610,
8061633,LARITEM 20/120MG CPR B/6,12,3,705,
8141421,LARITEM 40/240MG CP B/6,9,3,"2,040",
8144247,LARITEM 60/360MG CP B/6,12,3,"1,930",
8022923,LARITEM 80/480MG CP B/6            ,60,30,"2,030",
2297984,LARITHER 40MG INJ AMP 1ML B/6      ,2,0,"4,020",
2264105,LARITHER 80MG INJ B/6              ,9,4,"5,770",
8172083,LUFAR 80/480MG CP B/6,4,4,"2,750",
8142691,LUFENART 40/240MG CP B/12,15,0,"2,890",
8142716,LUFENART FORTE 80/480 MG CP B/6,42,7,"2,260",
8512863,LUMETER 40/240 CP B/12,5,0,"2,055",
8512857,LUMETER 80/480 CP B/6,55,2,"2,050",
8149285,LUMITER DS 80/480 CP B/6,1,2,"2,170",
8437699,LYATEM 20MG/ML IM SOL INJ AMP/1ML B/6,162,6,"1,210",
8174202,LYATEM 40MG/ML SOL INJ B/6,56,0,"1,889",
8147949,LYATEM 80MG/ML SOL INJ B/6,87,4,"3,050",
1629871,LYATER 20/120MG CP DISP B/6,3,0,670,
8180183,LYATER 80MG/480MG CP B/6,109,11,"2,000",
8174219,LYATER DISP 40MG CP B/6,11,0,"1,680",
2289447,MADAR CP B/3                       ,3,0,450,
2260171,MALACUR 40MG/320MG CP B/9        ,2,2,"3,580",
8085846,MALACUR SP FL 60MG                 ,3,3,"2,510",
8150118,MALAVAN 60MG INJ B/1,1,0,"1,540",
1525631,NORMALARI UNE 20MG/120MG B/6,34,0,740,
1525641,NORMALARI UNE 80MG/480MG B/6,41,0,"1,680",
1288401,PALUCURE 80/480MG CP B/6,1,1,"2,135",
1456681,PALUMAX 15MG/90MG PDRE SUSP BUV F/60ML,11,0,"2,000",
8171876,PALUMAX 40 B/6,1,3,"1,940",
8170552,PALUMAX 80/480MG CP B/6,18,0,"2,000",
8509051,PALUVA 180MG/1080MG PDRE SUSP BUV F/60ML,16,10,"1,325",
8585342,PALUVA 40MG SOL INJ/1ML B/6,1,4,"2,510",
8509016,PALUVA 40MG/240MG CPR ENR SECB/6,17,5,"1,500",
8629648,PALUVA 60/360MG CP B/6,29,0,"1,500",
8509039,PALUVA 80/480MG CP B/6,212,35,"1,750",
8585320,PALUVA INJ 80MG INJ B/6,21,6,"2,705",
1279061,PLASMETHER 40MG/ML S.INJ B/6,11,0,"1,700",
1215841,PLASMETHER 80MG INJ B/6,13,0,"3,860",
1215861,PLASMINAL 180MG/1080MG 60ML,172,3,"1,500",
1215851,PLASMINAL 80/480MG CP B/6,119,3,"1,970",
8147429,PLASMOCID 20/120MG CPB/6,2,3,680,
8147441,PLASMOCID 80/480 MG CP B/6,1,0,"1,770",
1260691,PLASMOCUR 40/320 CP B/9,1,0,"2,070",
