PHARMACIE PROLIFE,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
Code,Désignation,Qté vendue,Stock,Prix de vente,
2264625,INS MIXTAR 30 HM100UI10ML,1,7,"7,575",
,,Nombre d'articles :,1,,
Code Géo :,GOUTTES ET POMMADES AURICULAIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2267492,OTRIVINE 0.1% AD GTE NAS/10ML,1,7,"1,920",
8488314,RINASAN AD 0.1% FL/10ML,1,2,"1,060",
,,Nombre d'articles :,2,,
Code Géo :,LAITS INFANTILES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
806801,GUIGOZ 1 B/400G,1,-1,"3,585",
,,Nombre d'articles :,1,,
Code Géo :,MEDICATION FAMILIALE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3270361,ASPEGIC 250 SACH B/20,1,4,"1,610",
3353153,ASPIRINE UPSA 1000MG CP EFF/20,1,0,"2,880",
2264298,BRUSTAN SUSP F/100ML,2,28,"1,390",
1848341,COMBIPAIN 100MG/125MG SUSP BUV F/100ML,1,3,"1,380",
8123216,DOLIMEX MIGRAINE CP EFF B/16,1,25,"1,570",
2287595,EFFADOL SOL BUV FL/100ML,1,5,"1,300",
3036101,EFFERALGAN 500MG CP EFF/16,1,70,"1,570",
2277421,EFFERALGAN PED S.BUV 90ML AFR,4,220,"1,621",
3637324,EFFERALGAN VIT C 500 CP EFF/16,1,52,"1,500",
2255678,IBEX 200/235/30MG GELU B/24,2,37,"1,410",
3417350,PANADOL NN/ENF SP FL/100ML,2,39,"1,325",
8308269,PANOL 210MG SP FL/100ML,1,0,"1,033",
8342303,PANOL 250MG SP FL/60ML,2,28,730,
8074943,PARACAF CP B/20,1,12,890,
1280261,PARAMED 500MG CP B/20,2,89,300,
1525651,PARAT UNE 250MG SP FL/100ML,1,0,"1,160",
2256146,PREGNON CP B/1,3,75,"1,015",
3488516,SEDASPIR 20MG COMP NF AFR B/20,2,21,"1,960",
,,Nombre d'articles :,18,,
Code Géo :,PANSEMENTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
9996008,CATHETER G24  PEN,1,0,816,
8212171,COTON CODEX HYDRO LABELL 100G,2,15,"1,270",
1563172,EOSINE AQ 2% GIL UNIDOS 2MLX10,1,0,"1,580",
8102898,PERFUSEUR EN Y             PEN,1,0,504,
8143360D,SERINGUE 10ML B/100   PEN  (DETAIL),5,29,150,
,,Nombre d'articles :,5,,
Code Géo :,PETITS MATERIELS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2274049,GLUCOSE 5% 500ML PHARMI,2,0,950,
,,Nombre d'articles :,1,,
Code Géo :,RHUME ET GRIPPE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8024081,LITACOLD SP FL/100ML,2,2,"1,125",
1745731,PARAKEM SIROP 100ML,2,0,"1,580",
,,Nombre d'articles :,2,,
Code Géo :,SACHETS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8130920,ALMAX FORTE SACH PDRE B/30,1,32,"4,410",
9020642,TROFOCARD MAX GRAN S/12,1,6,"4,960",
,,Nombre d'articles :,2,,
Code Géo :,SIROPS ANTI ANEMIQUE ,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2287603,FERAMALT SP F/100ML,4,28,"6,330",
2018613,RANFERON-12 SP FL/200ML,1,3,"3,530",
,,Nombre d'articles :,2,,
Code Géo :,SIROPS DE TOUX,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2264140,APDYL H SP F/100ML,1,44,"2,685",
3312438,TERPONE SP AD FL/180ML,1,1,"2,030",
3000000418918,TREBON-N 600MG GR SOL BUV SACH B/8,1,0,"2,475",
,,Nombre d'articles :,3,,
Code Géo :,SOINS DU CORPS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3535,ECLAT MEDICAL,3,93,800,
8151833,LAIT SIVODERM HUIL ARGAN 250ML,1,0,600,
1137141,RICHMAN DEO 200ML,1,0,"2,080",
8151879,SAV SIVODERM COLLAGENE 150GR,1,6,600,
9994199,SIVODERM CR DEPILATION 60ML,1,0,880,
,,Nombre d'articles :,5,,
Code Géo :,SOLUTES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2254087,DAKIN CPF STAB 500ML UNIT  AFR,1,8,"2,160",
429631,SEPTILAIT SOL USAGE EXT 125ML,1,11,"1,360",
,,Nombre d'articles :,2,,
Code Géo :,SUPPOSITOIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2033274,GLYSS AD SUPPO B/10,1,4,"1,155",
,,Nombre d'articles :,1,,
,,,Nombre total d'aticles :,,130
LISTE DES PRODUITS VENDUS -  Imprimé le mercredi 10 décembre 2025 à 11:50 par BORIS EASY,,Page : 1/1,@ 2023 - EasyPharma SWITCH ,,
