PHARMACIE PROLIFE,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
,,Nombre d'articles :,1,,
Code Géo :,LAITS INFANTILES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1294181,NAN COMFORT 1 B/400G,2,0,"4,865",
1294191,NAN COMFORT 2 B/400G,1,0,"4,865",
,,Nombre d'articles :,2,,
Code Géo :,MEDICATION FAMILIALE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3189819,ASPEGIC 1000 SACH B/20,1,2,"3,065",
8018979,BRUSTAN COMP B/20,1,11,"2,520",
8129354,DOLIPRANE 500 VIT C CP EFF/16,1,5,"1,340",
3036101,EFFERALGAN 500MG CP EFF/16,1,70,"1,570",
2277421,EFFERALGAN PED S.BUV 90ML AFR,2,220,"1,621",
2255678,IBEX 200/235/30MG GELU B/24,1,37,"1,410",
8166668,IBUPROFENE GH 100MG S.BUV200ML,1,5,"1,570",
2276060,LIC PARAC 500MG CP B/16,2,42,385,
1280261,PARAMED 500MG CP B/20,13,89,300,
2256146,PREGNON CP B/1,1,75,"1,015",
1400711,TRIAFEN 325/200/30MG GELU/2X12,1,8,"1,720",
,,Nombre d'articles :,11,,
Code Géo :,OVULES GYNECOLOGIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3085020,POLYGYNAX CAPS VAG/6    710312,1,0,"3,420",
3483996,UTROGESTAN 200MG CAPS B/15,1,1,"6,610",
,,Nombre d'articles :,2,,
Code Géo :,PANSEMENTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1489611,ALCOOL+ 60° SPRAY 125ML,1,0,800,
1489651,ALCOOL+ 90° SPRAY 250ML,1,11,"1,590",
8211972,COMPRESS PUR LABELL 40*40 PQ10,1,56,900,
,,Nombre d'articles :,3,,
Code Géo :,RHUME ET GRIPPE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8156865,FEBRILEX JUNIOR SP 150ML,1,12,"1,710",
8024081,LITACOLD SP FL/100ML,2,2,"1,125",
2038811,SURDEX SP F/60ML,1,0,"1,226",
2278395,TRIFED PLUS 50MG CP B/20,2,21,"1,210",
,,Nombre d'articles :,4,,
Code Géo :,SIROPS ANTI ANEMIQUE ,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8124291,HEMOFER S.BUV FL/200ML,1,-3,"2,000",
8156960,RBC 125MG/5ML SP F/120ML,1,53,"5,770",
,,Nombre d'articles :,2,,
Code Géo :,SIROPS DE TOUX,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8155334,ACEFYL SP FL/120ML,1,11,"1,185",
8064614,BIAKOF SP TX FL/200ML,1,12,"2,070",
2255626,GUAFLEX SP FL/120ML MEPACO,1,2,"2,760",
,,Nombre d'articles :,3,,
Code Géo :,SOINS DU CORPS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3535,ECLAT MEDICAL,2,93,800,
1104221,GENSKIN ECLAT CR NOURISS T/250G,1,1,"5,720",
,,Nombre d'articles :,2,,
Code Géo :,SOLUTES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2268178,TILL SOLUTION FL/200ML,1,21,"2,310",
,,Nombre d'articles :,1,,
Code Géo :,SUPPOSITOIRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
30000007,SPASFON SUPPO B/10,3,29,"2,540",
,,Nombre d'articles :,1,,
,,,Nombre total d'aticles :,,110
LISTE DES PRODUITS VENDUS -  Imprimé le mercredi 10 décembre 2025 à 11:48 par BORIS EASY,,Page : 1/1,@ 2023 - EasyPharma SWITCH ,,
